,LatDim_0,LatDim_1,split
Sample_001,3.1887708,0.6351012,train
Sample_003,-0.022416368,0.4660491,train
Sample_004,1.0117137,0.90677035,train
Sample_005,0.8176547,-1.9517429,train
Sample_006,-0.5017519,-1.3790559,train
Sample_007,0.20529786,0.77648365,train
Sample_008,0.8962172,0.9743494,train
Sample_009,0.6666001,0.07510077,train
Sample_010,-0.38418707,0.7832006,train
Sample_012,2.615978,-1.439202,train
Sample_013,-2.3259478,-0.9881658,train
Sample_014,3.4422045,0.73029757,train
Sample_016,-0.26072863,1.45406,train
Sample_017,1.8390251,-0.023768662,train
Sample_019,1.0507826,1.9210829,train
Sample_024,2.2208009,-0.33273032,train
Sample_025,0.33695048,0.9935532,train
Sample_026,-1.9782703,0.6178899,train
Sample_027,0.7776254,-0.32973614,train
Sample_028,1.5021646,0.15955743,train
Sample_030,-0.09495263,0.1936789,train
Sample_002,0.7250433,-0.612457,valid
Sample_023,3.0886333,0.22504158,valid
Sample_029,1.4824443,0.7523607,valid
