,Gene1,Gene2,Gene3,split
Sample_001,-0.26640713,0.27078375,-0.2735978,train
Sample_003,-0.2826658,0.15152293,-0.11501827,train
Sample_004,-1.4451329,0.67097634,-0.5119817,train
Sample_005,0.07372846,-0.039898176,0.048417576,train
Sample_006,0.07372846,-0.039898176,0.048417576,train
Sample_007,-0.3973071,0.28367266,-0.25914228,train
Sample_008,0.07372846,-0.039898176,0.048417576,train
Sample_009,-1.0147556,0.4408885,-0.3160335,train
Sample_010,0.07438133,-0.040454846,0.048630565,train
Sample_012,0.07438133,-0.040454846,0.048630565,train
Sample_013,-0.16935116,-0.1228279,0.21361278,train
Sample_014,0.07372846,-0.039898176,0.048417576,train
Sample_016,-0.100424156,-0.09867504,0.16614035,train
Sample_017,0.07372846,-0.039898176,0.048417576,train
Sample_019,0.07372846,-0.039898176,0.048417576,train
Sample_024,-0.72944105,0.07148884,0.09520779,train
Sample_025,0.07438133,-0.040454846,0.048630565,train
Sample_026,-1.4040455,0.65942806,-0.5068135,train
Sample_027,-0.617805,0.21280043,-0.11469152,train
Sample_028,0.07372846,-0.039898176,0.048417576,train
Sample_030,-0.065436035,-0.086866476,0.14248925,train
Sample_002,-0.4350667,0.23170933,-0.18286411,valid
Sample_023,-0.07105154,-0.09029919,0.14799555,valid
Sample_029,-0.2624433,0.2677517,-0.27085012,valid
