,LatDim_0,LatDim_1,split
Sample_001,-0.18890303,1.8411149,train
Sample_003,0.29442126,1.3255615,train
Sample_004,2.478579,-1.4020997,train
Sample_005,1.4240842,1.8416468,train
Sample_006,-0.24280173,-1.6871576,train
Sample_007,-1.6722622,-0.52759606,train
Sample_008,-1.514458,1.8410183,train
Sample_009,1.5655653,-0.6841598,train
Sample_010,0.42444956,1.0147346,train
Sample_012,1.710408,1.0353394,train
Sample_013,2.3112571,-0.21509653,train
Sample_014,3.0037587,2.2620912,train
Sample_016,0.15587384,-0.18534167,train
Sample_017,-0.46945775,-1.5218316,train
Sample_019,-0.17675105,-0.08559693,train
Sample_024,2.447193,0.6767884,train
Sample_025,0.89636827,-0.9706851,train
Sample_026,0.4147711,1.4548118,train
Sample_027,3.1288981,-1.34094,train
Sample_028,-0.20887654,-1.1018021,train
Sample_030,-0.47577322,-0.4632957,train
Sample_002,1.6206871,-0.7701434,valid
Sample_023,1.6285633,1.6693559,valid
Sample_029,1.3847933,-1.6745279,valid
