,Gene1,Gene2,Gene3,split
Sample_001,-0.014711212,0.032212652,-0.01646477,train
Sample_003,0.031499173,-0.009132513,0.025717054,train
Sample_004,-0.28098044,0.09633919,-0.03533658,train
Sample_005,-0.9130677,0.5228509,-0.43469793,train
Sample_006,-0.5006052,0.39385936,-0.3658872,train
Sample_007,-1.0073292,0.2018376,0.0025832392,train
Sample_008,0.031499173,-0.009132513,0.025717054,train
Sample_009,-0.21942669,0.21537483,-0.20333344,train
Sample_010,-0.050599407,-0.033641543,0.07691519,train
Sample_012,0.032270897,-0.009877307,0.026075678,train
Sample_013,0.031499173,-0.009132513,0.025717054,train
Sample_014,-1.8572724,0.82904303,-0.6016858,train
Sample_016,-0.23335172,-0.08955289,0.19185075,train
Sample_017,0.031499173,-0.009132513,0.025717054,train
Sample_019,0.031499173,-0.009132513,0.025717054,train
Sample_024,-0.5833872,-0.1926956,0.40917116,train
Sample_025,-0.32750016,0.3120699,-0.3019852,train
Sample_026,0.031499173,-0.009132513,0.025717054,train
Sample_027,-1.0364704,0.42983142,-0.285592,train
Sample_028,0.032270897,-0.009877307,0.026075678,train
Sample_030,-0.47473314,-0.16025893,0.34141257,train
Sample_002,-0.035277043,-0.031095598,0.06920046,valid
Sample_023,0.033046592,-0.010510408,0.026518466,valid
Sample_029,-1.1234828,0.49902835,-0.35529146,valid
