,Gene1,Gene2,Gene3,split
Sample_001,-0.28916886,0.23842761,-0.22914138,train
Sample_003,0.106631026,-0.057390574,0.058912635,train
Sample_004,-0.5249747,0.119617164,-0.019639298,train
Sample_005,0.106631026,-0.057390574,0.058912635,train
Sample_006,0.009473115,-0.094982594,0.13026434,train
Sample_007,0.10714152,-0.057630893,0.058924697,train
Sample_008,0.106631026,-0.057390574,0.058912635,train
Sample_009,-1.2594976,0.58859676,-0.44968307,train
Sample_010,0.106631026,-0.057390574,0.058912635,train
Sample_012,0.106631026,-0.057390574,0.058912635,train
Sample_013,0.10714152,-0.057630893,0.058924697,train
Sample_014,-0.29228973,-0.21173966,0.35187566,train
Sample_016,0.106631026,-0.057390574,0.058912635,train
Sample_017,-1.4032527,0.71867806,-0.5831418,train
Sample_019,0.10714152,-0.057630893,0.058924697,train
Sample_024,0.106631026,-0.057390574,0.058912635,train
Sample_025,0.09336666,-0.044999324,0.046098165,train
Sample_026,0.106631026,-0.057390574,0.058912635,train
Sample_027,-0.42157486,-0.26313776,0.4473894,train
Sample_028,0.106631026,-0.057390574,0.058912635,train
Sample_030,-0.560364,0.19827801,-0.11252451,train
Sample_002,-0.08126479,-0.10840629,0.16805822,valid
Sample_023,-0.32581818,0.17812988,-0.14375663,valid
Sample_029,-0.0042358562,-0.03025937,0.049540948,valid
