,Gene1,Gene2,Gene3,split
Sample_001,0.06594585,-0.03514183,0.044529926,train
Sample_003,0.06520567,-0.034670286,0.044141456,train
Sample_004,-1.6680648,0.69236463,-0.48242164,train
Sample_005,-0.33641234,0.31595698,-0.31506538,train
Sample_006,-0.49882022,0.27648377,-0.22391294,train
Sample_007,0.06520567,-0.034670286,0.044141456,train
Sample_008,-1.1673373,0.58663553,-0.4651373,train
Sample_009,-0.15086213,-0.10577837,0.18966052,train
Sample_010,0.06594585,-0.03514183,0.044529926,train
Sample_012,-0.5496955,0.4086481,-0.38386154,train
Sample_013,-0.17551222,0.06572261,-0.02799853,train
Sample_014,-0.3770402,-0.16338983,0.32004613,train
Sample_016,0.06594585,-0.03514183,0.044529926,train
Sample_017,0.06520567,-0.034670286,0.044141456,train
Sample_019,0.06520567,-0.034670286,0.044141456,train
Sample_024,-0.505596,0.42585105,-0.4170701,train
Sample_025,-0.038664013,0.05984614,-0.05376049,train
Sample_026,-0.7335479,0.048053063,0.13135187,train
Sample_027,-0.39141497,0.38083255,-0.38624448,train
Sample_028,0.06520567,-0.034670286,0.044141456,train
Sample_030,0.06594585,-0.03514183,0.044529926,train
Sample_002,-0.8172803,0.73380256,-0.743559,valid
Sample_023,0.046809316,-0.042165205,0.058271717,valid
Sample_029,0.06665416,-0.035587672,0.044906225,valid
