,Gene1,Gene2,Gene3,split
Sample_001,0.069505,-0.037450425,0.046199862,train
Sample_003,0.07019937,-0.037965097,0.04648125,train
Sample_004,-1.4600255,0.6019721,-0.4192649,train
Sample_005,0.069505,-0.037450425,0.046199862,train
Sample_006,-0.43944773,0.42610893,-0.4347364,train
Sample_007,0.069505,-0.037450425,0.046199862,train
Sample_008,0.069505,-0.037450425,0.046199862,train
Sample_009,-0.4119291,0.2402817,-0.20020285,train
Sample_010,0.069505,-0.037450425,0.046199862,train
Sample_012,-0.53724235,0.51533526,-0.5278319,train
Sample_013,0.05591443,-0.041998804,0.055363905,train
Sample_014,-0.63452995,0.1364716,-0.011518475,train
Sample_016,-0.017062314,0.04151894,-0.03602136,train
Sample_017,-0.59501594,0.30803126,-0.24401385,train
Sample_019,-0.65913963,0.56744826,-0.56594336,train
Sample_024,-0.8470341,0.37516826,-0.27101856,train
Sample_025,0.069505,-0.037450425,0.046199862,train
Sample_026,-0.10425895,-0.028907727,0.076655895,train
Sample_027,-0.23187098,0.10514299,-0.067099646,train
Sample_028,-0.1190776,-0.100563705,0.17336003,train
Sample_030,0.07019937,-0.037965097,0.04648125,train
Sample_002,0.070896745,-0.03837499,0.046845578,valid
Sample_023,0.070896745,-0.03837499,0.046845578,valid
Sample_029,-0.021768197,0.046049364,-0.040806994,valid
