,LatDim_0,LatDim_1,split
Sample_001,1.880415,1.3256382,train
Sample_003,0.09360008,0.13011481,train
Sample_004,1.5707265,-0.6939818,train
Sample_005,0.4062007,-0.6044489,train
Sample_006,0.5732043,0.054936487,train
Sample_007,0.27626753,-1.0270851,train
Sample_008,2.0015178,0.722027,train
Sample_009,0.97527266,-0.18270592,train
Sample_010,1.9672562,0.017578071,train
Sample_012,-0.40454584,1.0843247,train
Sample_013,0.6709315,-0.7887126,train
Sample_014,1.5589755,1.0889494,train
Sample_016,0.042782106,-1.5650084,train
Sample_017,0.25171494,-0.7082922,train
Sample_019,1.7314652,0.28966674,train
Sample_024,2.171314,0.63818514,train
Sample_025,0.9335022,-1.3678303,train
Sample_026,-0.5930939,-0.68925446,train
Sample_027,1.0185502,-0.18389024,train
Sample_028,-1.8740528,-1.1964768,train
Sample_030,-0.4160173,-1.0297159,train
Sample_002,0.48704898,-0.11991347,valid
Sample_023,1.7917396,-0.098862685,valid
Sample_029,-0.98552144,-0.041400578,valid
