,Gene1,Gene2,Gene3,split
Sample_001,0.042427357,-0.017806046,0.031680938,train
Sample_003,0.042427357,-0.017806046,0.031680938,train
Sample_004,-1.0042372,0.2859004,-0.110351026,train
Sample_005,0.043292716,-0.01830983,0.032201577,train
Sample_006,0.043292716,-0.01830983,0.032201577,train
Sample_007,0.042427357,-0.017806046,0.031680938,train
Sample_008,-0.9198937,0.51939595,-0.4310205,train
Sample_009,0.042427357,-0.017806046,0.031680938,train
Sample_010,0.042427357,-0.017806046,0.031680938,train
Sample_012,-1.2551277,0.36908638,-0.15747552,train
Sample_013,0.042427357,-0.017806046,0.031680938,train
Sample_014,-0.4282447,0.1431176,-0.06355323,train
Sample_016,-0.1910444,0.19232288,-0.18339409,train
Sample_017,-0.8761813,0.68092704,-0.6496369,train
Sample_019,0.043292716,-0.01830983,0.032201577,train
Sample_024,-0.8420252,0.65520924,-0.62464225,train
Sample_025,-0.6689839,0.16782978,-0.03807733,train
Sample_026,-0.1701386,-0.08419152,0.16778632,train
Sample_027,-1.4725051,0.6417355,-0.45720783,train
Sample_028,0.042427357,-0.017806046,0.031680938,train
Sample_030,-0.032011185,-0.041053597,0.07934372,train
Sample_002,-0.15006086,0.13179862,-0.11517288,valid
Sample_023,-0.12893336,-0.07314059,0.14392473,valid
Sample_029,-0.4268013,-0.018351218,0.14445218,valid
