,Gene1,Gene2,Gene3,split
Sample_001,0.008240627,0.0042383554,0.019462198,train
Sample_003,0.016001694,0.0054146126,0.01600488,train
Sample_004,-0.048109226,-0.011994112,0.05534698,train
Sample_005,-0.7455284,0.3911271,-0.2858617,train
Sample_006,-1.5791724,0.51208013,-0.22473103,train
Sample_007,-1.1057236,0.43174788,-0.2443248,train
Sample_008,0.015182259,0.0061113182,0.015210933,train
Sample_009,-1.2960423,0.5457344,-0.3425966,train
Sample_010,-0.04466413,0.059798345,-0.038875725,train
Sample_012,0.015182259,0.0061113182,0.015210933,train
Sample_013,0.015182259,0.0061113182,0.015210933,train
Sample_014,-0.43124402,-0.116030805,0.29046023,train
Sample_016,0.015182259,0.0061113182,0.015210933,train
Sample_017,-1.5172057,0.8254801,-0.64877576,train
Sample_019,0.015182259,0.0061113182,0.015210933,train
Sample_024,0.015182259,0.0061113182,0.015210933,train
Sample_025,-1.1009883,0.46978113,-0.29498267,train
Sample_026,0.015182259,0.0061113182,0.015210933,train
Sample_027,-1.8917843,1.0011256,-0.7783074,train
Sample_028,0.016001694,0.0054146126,0.01600488,train
Sample_030,0.015182259,0.0061113182,0.015210933,train
Sample_002,-0.57030004,0.5310786,-0.51436025,valid
Sample_023,-0.6789021,0.62844074,-0.6125512,valid
Sample_029,-0.0052893255,0.024544146,-0.0035138559,valid
