,Gene1,Gene2,Gene3,split
Sample_001,-0.87385267,0.52425367,-0.45284718,train
Sample_003,0.10048976,-0.054332945,0.057581194,train
Sample_004,-0.29207146,-0.033713926,0.12471267,train
Sample_005,0.10048976,-0.054332945,0.057581194,train
Sample_006,0.061906595,-0.017708506,0.020120163,train
Sample_007,0.10048976,-0.054332945,0.057581194,train
Sample_008,-0.39944464,-0.24265003,0.41924876,train
Sample_009,0.057719197,-0.07039662,0.088400565,train
Sample_010,-0.6948559,0.22549447,-0.11200153,train
Sample_012,0.10048976,-0.054332945,0.057581194,train
Sample_013,0.056957114,-0.071045846,0.089790225,train
Sample_014,-0.60942626,0.39673483,-0.35219666,train
Sample_016,0.10048976,-0.054332945,0.057581194,train
Sample_017,0.101185754,-0.054416157,0.0578633,train
Sample_019,-0.58224344,0.24020049,-0.1577309,train
Sample_024,-0.94857466,0.4206778,-0.3020678,train
Sample_025,0.0058056116,-0.08989419,0.12580818,train
Sample_026,0.101185754,-0.054416157,0.0578633,train
Sample_027,-0.0051574707,-0.030140178,0.051714398,train
Sample_028,0.10048976,-0.054332945,0.057581194,train
Sample_030,0.10048976,-0.054332945,0.057581194,train
Sample_002,0.10167566,-0.054670613,0.057919204,valid
Sample_023,-0.6023499,0.176587,-0.070402965,valid
Sample_029,0.10167566,-0.054670613,0.057919204,valid
