,Gene1,Gene2,Gene3,split
Sample_001,-0.059760116,-0.07220294,0.12523103,train
Sample_003,0.0625906,-0.032530196,0.042808026,train
Sample_004,-1.789777,0.59783226,-0.31843153,train
Sample_005,0.0625906,-0.032530196,0.042808026,train
Sample_006,-0.6286764,0.31314105,-0.23635176,train
Sample_007,-0.759264,0.71529704,-0.7294098,train
Sample_008,0.0625906,-0.032530196,0.042808026,train
Sample_009,0.06318009,-0.033167727,0.043236725,train
Sample_010,-0.08973406,0.10607403,-0.10031682,train
Sample_012,0.06318009,-0.033167727,0.043236725,train
Sample_013,0.06318009,-0.033167727,0.043236725,train
Sample_014,-0.42706853,0.32764018,-0.30644625,train
Sample_016,0.0625906,-0.032530196,0.042808026,train
Sample_017,0.0625906,-0.032530196,0.042808026,train
Sample_019,0.05265624,-0.023490664,0.033473667,train
Sample_024,-0.4979661,0.4775352,-0.48389325,train
Sample_025,0.0625906,-0.032530196,0.042808026,train
Sample_026,-0.47400397,0.4499152,-0.45377567,train
Sample_027,-0.59483176,-0.247522,0.48644736,train
Sample_028,-0.07347928,0.09128337,-0.08504376,train
Sample_030,-0.095633045,-0.083834894,0.14939724,train
Sample_002,-0.60302263,0.39113918,-0.34646568,valid
Sample_023,-0.034927636,-0.06590487,0.11010917,valid
Sample_029,0.06384671,-0.03361633,0.04359258,valid
