,Gene1,Gene2,Gene3,split
Sample_001,-0.20693013,-0.117828354,0.22247687,train
Sample_003,0.061230212,-0.031574424,0.04192576,train
Sample_004,-0.6842859,0.13071346,0.017138798,train
Sample_005,-0.076747015,-0.075954884,0.13482518,train
Sample_006,-0.3656776,0.079074495,0.004596431,train
Sample_007,-0.16190183,0.17151797,-0.16734257,train
Sample_008,-0.55632865,0.23872203,-0.15560946,train
Sample_009,-0.55158657,0.52626276,-0.5334419,train
Sample_010,0.061230212,-0.031574424,0.04192576,train
Sample_012,-0.20118985,0.010624364,0.053019438,train
Sample_013,-0.034816235,0.055846017,-0.0481531,train
Sample_014,-2.423125,1.0678078,-0.76844794,train
Sample_016,0.061230212,-0.031574424,0.04192576,train
Sample_017,-0.99370253,0.3897559,-0.24267173,train
Sample_019,0.061230212,-0.031574424,0.04192576,train
Sample_024,0.061230212,-0.031574424,0.04192576,train
Sample_025,0.061916225,-0.03204792,0.04244815,train
Sample_026,-0.011889927,0.034978744,-0.026651252,train
Sample_027,0.061230212,-0.031574424,0.04192576,train
Sample_028,0.061230212,-0.031574424,0.04192576,train
Sample_030,-0.0656888,-0.07325822,0.12840357,train
Sample_002,-0.2492392,0.116602145,-0.07423254,valid
Sample_023,0.0625906,-0.032530196,0.042808026,valid
Sample_029,-0.20524397,-0.11937672,0.22323793,valid
