,LatDim_0,LatDim_1,split
Sample_001,-0.6562636,0.21369663,train
Sample_003,0.31288576,-0.091037646,train
Sample_004,1.6439084,-0.5477527,train
Sample_005,-0.60030866,-0.8829897,train
Sample_006,-0.59322566,-0.33897832,train
Sample_007,0.95961875,1.4509081,train
Sample_008,0.1828278,-0.465673,train
Sample_009,2.1915154,-1.0408751,train
Sample_010,0.10451884,-0.8487014,train
Sample_012,0.38193917,1.3398999,train
Sample_013,0.9967344,-0.4471247,train
Sample_014,2.2189069,0.11011959,train
Sample_016,-1.1015239,0.9897376,train
Sample_017,-0.003878653,-0.6289135,train
Sample_019,1.2828121,-0.17260063,train
Sample_024,1.674089,1.2873541,train
Sample_025,0.38477355,1.6117961,train
Sample_026,-0.9586986,1.3394898,train
Sample_027,-1.286485,-0.7397004,train
Sample_028,1.5832984,-0.49135706,train
Sample_030,0.43590346,0.15762967,train
Sample_002,-1.109309,-0.5014924,valid
Sample_023,2.0384223,-0.714095,valid
Sample_029,0.81565744,0.49496955,valid
