,LatDim_0,LatDim_1,split
Sample_001,1.3568742,0.28907043,train
Sample_003,1.1322216,1.1038113,train
Sample_004,2.1379185,1.9149318,train
Sample_005,1.453151,2.0590222,train
Sample_006,-0.7236899,-0.5177507,train
Sample_007,0.7869014,0.5729625,train
Sample_008,0.10900044,-0.31140068,train
Sample_009,2.1634257,1.3330684,train
Sample_010,-0.07322938,-2.2220244,train
Sample_012,1.1486788,0.7339327,train
Sample_013,0.64150286,1.7706859,train
Sample_014,3.379491,0.52840924,train
Sample_016,0.11803272,0.5610048,train
Sample_017,-0.90561897,-1.482818,train
Sample_019,1.4277056,0.21872942,train
Sample_024,1.3361125,0.21373805,train
Sample_025,-0.7901742,-1.1924711,train
Sample_026,0.77597976,-0.16754074,train
Sample_027,1.0374167,-1.0676725,train
Sample_028,1.2953978,-0.6247298,train
Sample_030,0.4044075,-0.34890667,train
Sample_002,0.1522606,-0.13830002,valid
Sample_023,0.20084225,-0.68046,valid
Sample_029,2.6111283,-0.3260472,valid
