,Gene1,Gene2,Gene3,split
Sample_001,-0.035662837,0.06248201,-0.05950481,train
Sample_003,0.08054841,-0.044124987,0.051083434,train
Sample_004,-1.1469957,0.35882178,-0.1815325,train
Sample_005,-0.64408946,0.1123852,0.01852103,train
Sample_006,0.08054841,-0.044124987,0.051083434,train
Sample_007,-1.2491806,0.6232995,-0.5001936,train
Sample_008,-0.06345884,-0.0942911,0.149671,train
Sample_009,-0.3756233,0.3750142,-0.3833305,train
Sample_010,0.08054841,-0.044124987,0.051083434,train
Sample_012,-0.46771437,-0.086161,0.23386644,train
Sample_013,-0.20278883,0.21579587,-0.2185442,train
Sample_014,-1.0398502,0.39867508,-0.25885683,train
Sample_016,0.08054841,-0.044124987,0.051083434,train
Sample_017,0.0812649,-0.044499975,0.051504068,train
Sample_019,0.08054841,-0.044124987,0.051083434,train
Sample_024,-0.053848833,-0.09173222,0.1442062,train
Sample_025,-0.8304819,0.4589037,-0.3857646,train
Sample_026,0.08054841,-0.044124987,0.051083434,train
Sample_027,-0.50433415,0.14963633,-0.06237493,train
Sample_028,0.08054841,-0.044124987,0.051083434,train
Sample_030,0.0812649,-0.044499975,0.051504068,train
Sample_002,0.08198153,-0.04487269,0.05177806,valid
Sample_023,0.08198153,-0.04487269,0.05177806,valid
Sample_029,-0.05412536,-0.09258779,0.14535835,valid
