,LatDim_0,LatDim_1,split
Sample_001,0.49983826,0.7048025,train
Sample_003,0.27355218,1.133105,train
Sample_004,-0.54735553,0.71749526,train
Sample_005,-0.43795693,-0.07037044,train
Sample_006,-0.46335992,1.3291303,train
Sample_007,1.5307224,-0.71453,train
Sample_008,0.2586835,-0.59741503,train
Sample_009,2.2492335,-2.345081,train
Sample_010,0.870432,0.57929915,train
Sample_012,2.3578572,-0.33670223,train
Sample_013,-0.6644469,-1.5339003,train
Sample_014,2.213354,-0.4318728,train
Sample_016,1.1464533,2.283676,train
Sample_017,0.035583675,0.9045367,train
Sample_019,0.32481048,1.3261089,train
Sample_024,2.0954022,-0.10280991,train
Sample_025,0.94541144,1.0511521,train
Sample_026,-0.33628476,-0.04259673,train
Sample_027,-0.21740067,0.67076075,train
Sample_028,-0.047984153,0.6279759,train
Sample_030,1.0049405,-0.28114167,train
Sample_002,1.0608667,-0.44622853,valid
Sample_023,0.21190888,-0.2601505,valid
Sample_029,-0.24715155,-0.17512923,valid
