,LatDim_0,LatDim_1,split
Sample_001,2.634376,-0.42964807,train
Sample_003,0.45163268,0.93900126,train
Sample_004,2.7755327,-0.57616776,train
Sample_005,-0.10017823,-1.5717833,train
Sample_006,0.37569204,0.66227454,train
Sample_007,0.16737857,0.44448218,train
Sample_008,-0.36777785,-0.37286243,train
Sample_009,1.0521969,-0.7455603,train
Sample_010,1.125534,-0.26950663,train
Sample_012,0.6479559,-0.8348597,train
Sample_013,-0.08543345,-2.373646,train
Sample_014,0.16275442,-0.6216616,train
Sample_016,-1.8734106,0.7915552,train
Sample_017,-0.75672746,-0.36345908,train
Sample_019,1.6681945,1.243521,train
Sample_024,-2.086482,-0.25262406,train
Sample_025,0.08856548,-0.4246315,train
Sample_026,0.97330815,0.24439205,train
Sample_027,3.5005865,-1.332733,train
Sample_028,1.4804324,-0.2554852,train
Sample_030,1.3457221,-0.099779725,train
Sample_002,1.6841481,-0.2602784,valid
Sample_023,0.5875814,-0.56030494,valid
Sample_029,0.79796237,0.95393133,valid
