,Gene1,Gene2,Gene3,split
Sample_001,-0.869516,0.42839947,-0.34655723,train
Sample_003,-0.05700402,0.09634923,-0.10290839,train
Sample_004,-0.43068847,-0.17620832,0.33196843,train
Sample_005,-0.037380926,0.07787381,-0.08330083,train
Sample_006,-0.28357,0.22059026,-0.21192002,train
Sample_007,-0.3080217,-0.086000025,0.18835552,train
Sample_008,0.10938611,-0.05863979,0.059162278,train
Sample_009,0.10938611,-0.05863979,0.059162278,train
Sample_010,0.10938611,-0.05863979,0.059162278,train
Sample_012,-0.68752,0.3747123,-0.31852177,train
Sample_013,0.10394938,-0.060792297,0.06315438,train
Sample_014,-0.095699705,0.06867851,-0.058342647,train
Sample_016,0.07109514,-0.074207485,0.087689236,train
Sample_017,0.10938611,-0.05863979,0.059162278,train
Sample_019,-0.42773226,0.2106671,-0.16611673,train
Sample_024,-0.35568213,0.373999,-0.39300424,train
Sample_025,0.10938611,-0.05863979,0.059162278,train
Sample_026,0.10989733,-0.05880148,0.059197187,train
Sample_027,-0.69680035,0.44633344,-0.4085174,train
Sample_028,0.10938611,-0.05863979,0.059162278,train
Sample_030,0.00205867,0.041189548,-0.045017797,train
Sample_002,0.035890862,-0.08863293,0.11392729,valid
Sample_023,0.1103284,-0.05899843,0.05927185,valid
Sample_029,0.09118286,-0.06662051,0.07332938,valid
