,LatDim_0,LatDim_1,split
Sample_001,1.0285567,-0.20250875,train
Sample_003,0.6635557,-0.42296615,train
Sample_004,1.4611017,-1.8900816,train
Sample_005,0.63319904,2.2665496,train
Sample_006,1.0113842,-0.59606004,train
Sample_007,-1.7646312,-0.12457234,train
Sample_008,0.075328164,-0.21771285,train
Sample_009,1.7517093,0.68472666,train
Sample_010,0.42287725,-0.21054223,train
Sample_012,-0.104929805,0.7188857,train
Sample_013,1.2625704,1.884386,train
Sample_014,1.6993473,1.5768296,train
Sample_016,2.1994705,0.51462615,train
Sample_017,-1.1297584,1.2807775,train
Sample_019,-0.9274454,-0.44636437,train
Sample_024,-0.9429496,-0.9170257,train
Sample_025,0.68096507,-0.8542045,train
Sample_026,-1.0229064,-0.5973383,train
Sample_027,1.5003692,-0.32627028,train
Sample_028,0.11992636,-0.9209384,train
Sample_030,-1.2354093,-0.005828475,train
Sample_002,0.6151501,-1.336019,valid
Sample_023,-0.044605434,0.8465685,valid
Sample_029,-0.6079041,1.814959,valid
