,LatDim_0,LatDim_1,split
Sample_001,0.09822559,1.8640774,train
Sample_003,0.86696404,0.3927961,train
Sample_004,2.0604882,0.98825145,train
Sample_005,0.390196,-0.30856663,train
Sample_006,-0.04119152,0.9136757,train
Sample_007,0.87343895,0.80641437,train
Sample_008,-0.5744881,1.5720831,train
Sample_009,1.7331371,0.3831415,train
Sample_010,-0.46020055,0.37920463,train
Sample_012,-0.5909561,-1.5964092,train
Sample_013,0.91207004,-1.3266276,train
Sample_014,-0.26121807,0.5165363,train
Sample_016,0.81038123,-1.0895771,train
Sample_017,-0.011835158,-1.2269021,train
Sample_019,-1.0615647,-1.4752847,train
Sample_024,1.7772791,-0.8399192,train
Sample_025,0.073323995,0.015504938,train
Sample_026,2.0975354,0.6871632,train
Sample_027,1.3693736,0.04804899,train
Sample_028,-1.628711,0.6085652,train
Sample_030,0.78231645,-0.65910673,train
Sample_002,1.2166996,0.4364869,valid
Sample_023,1.0159909,-0.5945417,valid
Sample_029,0.40881544,1.6188686,valid
