,LatDim_0,LatDim_1,split
Sample_001,1.4555871,1.3864942,train
Sample_003,0.5112729,-2.1003606,train
Sample_004,0.51988935,1.0914544,train
Sample_005,-1.698945,-0.4078618,train
Sample_006,1.2487457,2.468315,train
Sample_007,-0.6738235,-0.016494924,train
Sample_008,0.1882547,0.31029692,train
Sample_009,0.0075455774,0.7861023,train
Sample_010,0.7984984,0.40881687,train
Sample_012,1.1534764,-0.45763052,train
Sample_013,0.8567722,-0.96541107,train
Sample_014,1.5956182,-0.81656086,train
Sample_016,0.11532139,0.74863255,train
Sample_017,1.5842555,-0.8877946,train
Sample_019,0.80073124,-0.8581823,train
Sample_024,-1.1682959,-0.64575434,train
Sample_025,0.6783041,-2.431929,train
Sample_026,-0.17281047,0.25791368,train
Sample_027,1.4143617,-0.898925,train
Sample_028,-0.4687978,0.22296566,train
Sample_030,-0.8412791,-0.3175993,train
Sample_002,0.59841317,0.79446834,valid
Sample_023,-0.13600162,-2.058855,valid
Sample_029,0.86244524,-2.079304,valid
