,LatDim_0,LatDim_1,split
Sample_001,0.14897037,2.4474037,train
Sample_003,-0.83563757,0.07558388,train
Sample_004,1.5868561,-0.6189719,train
Sample_005,0.8519514,1.6358259,train
Sample_006,0.640739,-0.495842,train
Sample_007,0.84878623,1.0034869,train
Sample_008,0.03098996,-0.40714782,train
Sample_009,1.8434881,0.020472199,train
Sample_010,0.42749387,0.83741325,train
Sample_012,0.18581986,1.2553352,train
Sample_013,1.1959403,0.99208146,train
Sample_014,2.6137218,0.7538975,train
Sample_016,1.1659346,1.0000477,train
Sample_017,2.2777495,-0.53626347,train
Sample_019,0.9227146,-1.483296,train
Sample_024,1.533069,-1.7317924,train
Sample_025,-0.25895038,0.028931174,train
Sample_026,-0.9251555,-0.8888341,train
Sample_027,2.1132686,-0.28833053,train
Sample_028,-0.35890093,-1.0951234,train
Sample_030,-0.6347206,0.3437928,train
Sample_002,-0.72449887,1.8267109,valid
Sample_023,0.3666241,0.122153044,valid
Sample_029,-0.31745636,-0.77339303,valid
