,LatDim_0,LatDim_1,split
Sample_001,0.53780407,0.61488974,train
Sample_003,-0.68206537,0.20804393,train
Sample_004,1.1834321,0.05329847,train
Sample_005,1.353783,0.79960114,train
Sample_006,1.1424122,1.2940845,train
Sample_007,2.3502238,-0.7583238,train
Sample_008,-0.5319955,0.9572446,train
Sample_009,0.7030078,1.1431026,train
Sample_010,0.9506765,-0.26521614,train
Sample_012,0.5905595,0.470948,train
Sample_013,-1.0758649,-0.5662297,train
Sample_014,2.968666,1.1105491,train
Sample_016,1.1229861,-0.65875965,train
Sample_017,-1.1516619,-2.076955,train
Sample_019,0.22723545,-0.30920768,train
Sample_024,2.6588397,0.93334925,train
Sample_025,0.7488348,1.487765,train
Sample_026,-0.035609126,-1.1869211,train
Sample_027,1.5029662,0.46987838,train
Sample_028,0.030481055,-0.54904073,train
Sample_030,1.9110434,-1.7923748,train
Sample_002,0.70409787,-0.65954816,valid
Sample_023,-1.8101401,0.7028049,valid
Sample_029,1.9764509,0.29119024,valid
