,Gene1,Gene2,Gene3,split
Sample_001,-0.26053786,-0.08583148,0.17069864,train
Sample_003,0.11515641,-0.060930803,0.060052443,train
Sample_004,-0.70710367,0.10460455,0.019698527,train
Sample_005,0.114682235,-0.060788043,0.060018297,train
Sample_006,0.114682235,-0.060788043,0.060018297,train
Sample_007,-0.0010059327,0.04620269,-0.05311359,train
Sample_008,0.114682235,-0.060788043,0.060018297,train
Sample_009,-0.43172863,-0.002538003,0.09960358,train
Sample_010,0.114682235,-0.060788043,0.060018297,train
Sample_012,0.01617866,-0.020920694,0.0294566,train
Sample_013,0.11515641,-0.060930803,0.060052443,train
Sample_014,0.09339903,-0.06955469,0.07572658,train
Sample_016,-0.915949,0.47185248,-0.40886945,train
Sample_017,-0.47537613,0.12578613,-0.056521352,train
Sample_019,0.114682235,-0.060788043,0.060018297,train
Sample_024,0.114682235,-0.060788043,0.060018297,train
Sample_025,0.114682235,-0.060788043,0.060018297,train
Sample_026,-1.6215854,0.8066356,-0.6901077,train
Sample_027,0.09814806,-0.04549691,0.04384947,train
Sample_028,0.11515641,-0.060930803,0.060052443,train
Sample_030,0.114682235,-0.060788043,0.060018297,train
Sample_002,-0.457628,0.23010859,-0.19469184,valid
Sample_023,-0.59882736,0.13273406,-0.040493317,valid
Sample_029,-0.5923898,0.21808353,-0.15132889,valid
