,Gene1,Gene2,Gene3,split
Sample_001,0.07169405,-0.038657367,0.047286905,train
Sample_003,0.070896745,-0.03837499,0.046845578,train
Sample_004,-0.64405525,0.13714945,-0.011137046,train
Sample_005,0.070896745,-0.03837499,0.046845578,train
Sample_006,0.070896745,-0.03837499,0.046845578,train
Sample_007,-1.0279533,0.65839654,-0.5965799,train
Sample_008,0.070896745,-0.03837499,0.046845578,train
Sample_009,-0.9665048,0.16607535,0.027988397,train
Sample_010,0.070896745,-0.03837499,0.046845578,train
Sample_012,-0.24331409,0.24789342,-0.25036916,train
Sample_013,-0.13972053,-0.043305483,0.10335774,train
Sample_014,-0.46725512,-0.21918438,0.4098077,train
Sample_016,0.070896745,-0.03837499,0.046845578,train
Sample_017,0.07169405,-0.038657367,0.047286905,train
Sample_019,-0.34634697,0.3424197,-0.34826696,train
Sample_024,-1.1378974,0.70369923,-0.6298036,train
Sample_025,-0.32955042,0.32646087,-0.33194086,train
Sample_026,0.07169405,-0.038657367,0.047286905,train
Sample_027,0.070896745,-0.03837499,0.046845578,train
Sample_028,-0.60883045,0.13449891,-0.016072951,train
Sample_030,0.070896745,-0.03837499,0.046845578,train
Sample_002,0.07236218,-0.039070923,0.047625106,valid
Sample_023,-0.79401493,0.16009949,-0.004779864,valid
Sample_029,-0.17772222,0.1352344,-0.11917037,valid
