,LatDim_0,LatDim_1,split
Sample_001,-0.20338142,0.6341971,train
Sample_003,-0.15608226,0.35250372,train
Sample_004,1.7213254,2.2162197,train
Sample_005,-0.6368389,0.5097977,train
Sample_006,2.0574045,-1.703048,train
Sample_007,-0.5359657,-0.3254954,train
Sample_008,-1.1718693,1.3649871,train
Sample_009,1.2219567,-0.014953297,train
Sample_010,2.4424396,0.77152646,train
Sample_012,0.38977382,2.5479162,train
Sample_013,1.6577945,-1.3846676,train
Sample_014,0.4762982,-1.5883123,train
Sample_016,0.12984897,-0.33194658,train
Sample_017,0.57424706,-0.09373736,train
Sample_019,0.059207156,0.628298,train
Sample_024,0.17619866,-1.3833295,train
Sample_025,-0.08666758,0.3910105,train
Sample_026,-0.42255893,-1.3463671,train
Sample_027,1.3534274,0.8121446,train
Sample_028,0.9193258,-0.15304601,train
Sample_030,1.0659214,0.81005335,train
Sample_002,0.9821819,-0.86115354,valid
Sample_023,1.9977932,1.7997072,valid
Sample_029,2.3176851,0.2544098,valid
