,Gene1,Gene2,Gene3,split
Sample_001,0.12984239,-0.06665355,0.0629554,train
Sample_003,-0.27993977,-0.19691923,0.2957532,train
Sample_004,0.12984239,-0.06665355,0.0629554,train
Sample_005,-0.25198102,-0.2449257,0.35080734,train
Sample_006,-0.5056576,0.45549065,-0.47892544,train
Sample_007,0.12984239,-0.06665355,0.0629554,train
Sample_008,-0.23478134,0.055444583,-0.026657619,train
Sample_009,0.12984239,-0.06665355,0.0629554,train
Sample_010,-0.32131046,0.3619426,-0.39394775,train
Sample_012,0.13018525,-0.06684659,0.06289082,train
Sample_013,0.12984239,-0.06665355,0.0629554,train
Sample_014,-0.32364494,0.07076946,-0.030503131,train
Sample_016,-0.31002116,0.35121772,-0.38251454,train
Sample_017,0.12984239,-0.06665355,0.0629554,train
Sample_019,0.13018525,-0.06684659,0.06289082,train
Sample_024,-0.37899095,-0.30559516,0.44688165,train
Sample_025,0.12984239,-0.06665355,0.0629554,train
Sample_026,0.13018525,-0.06684659,0.06289082,train
Sample_027,0.05543326,-0.10139494,0.11905152,train
Sample_028,-0.85650045,0.24915567,-0.16140467,train
Sample_030,-0.33683968,0.37709424,-0.41034633,train
Sample_002,0.13050102,-0.06696768,0.06292112,valid
Sample_023,-1.1697583,0.43463904,-0.34076577,valid
Sample_029,-1.0975567,0.6514177,-0.62274027,valid
