,Gene1,Gene2,Gene3,split
Sample_001,0.41422436,-0.795328,0.76353586,train
Sample_003,0.23463051,-0.14825001,-0.4888634,train
Sample_004,0.6229525,-1.1823398,1.0962148,train
Sample_005,0.5786684,-0.4184559,-1.0723139,train
Sample_006,0.12368992,-0.06105382,-0.30115715,train
Sample_007,0.6663618,-1.2628268,1.165402,train
Sample_008,0.58088917,-1.1058846,1.0308439,train
Sample_009,-0.0599941,0.0835883,0.008775808,train
Sample_010,0.08976224,-0.19372904,0.24639586,train
Sample_012,-0.059410047,0.08285763,0.008639425,train
Sample_013,0.2943075,-0.19515446,-0.5898341,train
Sample_014,0.29681468,-0.19712502,-0.59407604,train
Sample_016,0.060162876,-0.011123344,-0.19367236,train
Sample_017,0.18604329,-0.11006183,-0.40665612,train
Sample_019,-0.059410047,0.08285763,0.008639425,train
Sample_024,0.59452385,-0.43111613,-1.0977861,train
Sample_025,-0.059410047,0.08285763,0.008639425,train
Sample_026,0.12728988,-0.0638833,-0.3072481,train
Sample_027,0.049665168,-0.002613403,-0.17684886,train
Sample_028,-0.0599941,0.0835883,0.008775808,train
Sample_030,-0.059410047,0.08285763,0.008639425,train
Sample_002,0.034134433,-0.021880724,-0.054135725,valid
Sample_023,0.2204147,-0.13666904,-0.46699414,valid
Sample_029,-0.06054467,0.084280305,0.008897648,valid
