,Gene1,Gene2,Gene3,split
Sample_001,0.12595785,-0.07808994,-0.23787034,train
Sample_003,0.06361364,-0.11132604,0.14477861,train
Sample_004,-0.023349732,0.043003835,0.01141701,train
Sample_005,0.2765169,-0.49054396,0.47451124,train
Sample_006,0.33732983,-0.59967554,0.5702811,train
Sample_007,0.08400723,-0.14765058,0.17636305,train
Sample_008,-0.022559423,0.042163204,0.011318646,train
Sample_009,0.4144544,-0.7371004,0.68978363,train
Sample_010,0.5767674,-1.0253422,0.9395221,train
Sample_012,0.30580294,-0.4913754,0.3493785,train
Sample_013,-0.022559423,0.042163204,0.011318646,train
Sample_014,0.46654013,-0.8290084,0.76880836,train
Sample_016,0.43857345,-0.3312121,-0.76239103,train
Sample_017,0.68835735,-1.2241035,1.1123464,train
Sample_019,0.28037843,-0.3448213,-0.026559614,train
Sample_024,0.82080066,-0.64069813,-1.403709,train
Sample_025,0.4317537,-0.3256902,-0.7509485,train
Sample_026,0.69498426,-0.53882563,-1.1926085,train
Sample_027,-0.022559423,0.042163204,0.011318646,train
Sample_028,0.04502927,-0.027006637,-0.054112293,train
Sample_030,0.39538243,-0.29561752,-0.6910479,train
Sample_002,-0.024114594,0.043794096,0.011436306,valid
Sample_023,0.26399094,-0.18886183,-0.47173232,valid
Sample_029,0.29669505,-0.52810144,0.50875866,valid
