,LatDim_0,LatDim_1,split
Sample_001,0.56850904,0.055196855,train
Sample_003,-1.4559562,-0.14030753,train
Sample_004,0.91044044,-0.2349839,train
Sample_005,-0.97956616,0.0302696,train
Sample_006,0.17506877,-0.36756757,train
Sample_007,0.21648942,-0.4511549,train
Sample_008,0.72861415,0.014008111,train
Sample_009,1.1151795,1.3130151,train
Sample_010,0.3204236,-1.5503961,train
Sample_012,-0.7919698,0.07046215,train
Sample_013,1.0108054,0.032173354,train
Sample_014,0.6990514,-0.06233894,train
Sample_016,0.86337835,-1.0436778,train
Sample_017,1.5896249,-2.0274315,train
Sample_019,-1.5660192,-1.6460832,train
Sample_024,-0.095886014,-0.48443815,train
Sample_025,-0.78666955,-0.64490736,train
Sample_026,0.0576195,-0.010169709,train
Sample_027,-0.02092045,0.9727316,train
Sample_028,2.7069662,-1.5075135,train
Sample_030,0.8831556,-0.109249115,train
Sample_002,0.050290495,0.7428567,valid
Sample_023,1.2409073,-0.043754265,valid
Sample_029,0.06597047,0.6021827,valid
