,LatDim_0,LatDim_1,split
Sample_001,1.3716244,1.2695799,train
Sample_003,-0.116986215,0.89728546,train
Sample_004,0.16711608,1.329908,train
Sample_005,1.6630013,-0.23739307,train
Sample_006,0.5175685,0.29216745,train
Sample_007,1.7677321,0.6289905,train
Sample_008,0.54088575,-1.1559188,train
Sample_009,0.3382851,-0.85050213,train
Sample_010,-0.6479456,0.5914674,train
Sample_012,-0.18192875,-0.4055508,train
Sample_013,-0.2836047,-1.1620164,train
Sample_014,-0.05735928,-0.17430896,train
Sample_016,2.5482721,-0.102441095,train
Sample_017,0.40519458,-0.040865004,train
Sample_019,-1.4249549,-0.6166893,train
Sample_024,-0.44053337,-1.3606814,train
Sample_025,0.94452566,0.21665113,train
Sample_026,0.86961627,0.24698667,train
Sample_027,-1.4865718,1.5577577,train
Sample_028,-1.023801,0.38505667,train
Sample_030,-0.083446674,0.2300727,train
Sample_002,0.18458435,-1.0549113,valid
Sample_023,0.86125624,-1.0584395,valid
Sample_029,-0.77715206,0.68195903,valid
