,Gene1,Gene2,Gene3,split
Sample_001,-0.0970268,0.12783055,0.01265665,train
Sample_003,-0.0970268,0.12783055,0.01265665,train
Sample_004,-0.0970268,0.12783055,0.01265665,train
Sample_005,-0.0970268,0.12783055,0.01265665,train
Sample_006,0.18125814,-0.16704623,-0.2317393,train
Sample_007,0.27782708,-0.5637629,0.62031263,train
Sample_008,0.15316987,-0.06992504,-0.4214311,train
Sample_009,0.13192025,-0.13722818,-0.11692893,train
Sample_010,0.023747616,0.03237038,-0.19688529,train
Sample_012,0.011775754,0.041924506,-0.17710559,train
Sample_013,-0.0970268,0.12783055,0.01265665,train
Sample_014,0.22946984,-0.47508475,0.5425559,train
Sample_016,0.68008405,-1.3059144,1.2723905,train
Sample_017,0.37690777,-0.7465636,0.7809271,train
Sample_019,0.29781604,-0.5806408,0.58800066,train
Sample_024,-0.0060876682,0.0560347,-0.14612257,train
Sample_025,-0.0970268,0.12783055,0.01265665,train
Sample_026,0.1476196,-0.23453997,0.12602644,train
Sample_027,0.47486928,-0.3241964,-0.9795751,train
Sample_028,0.17085847,-0.08373375,-0.45302483,train
Sample_030,-0.0970268,0.12783055,0.01265665,train
Sample_002,0.03811419,0.021401241,-0.2233646,valid
Sample_023,-0.011705071,0.060718648,-0.13699768,valid
Sample_029,-0.04961679,0.090638615,-0.07127373,valid
