,Gene1,Gene2,Gene3,split
Sample_001,0.29010746,-0.19147614,-0.58504045,train
Sample_003,0.22996116,-0.14417648,-0.48316404,train
Sample_004,0.12309344,-0.060134597,-0.3021504,train
Sample_005,0.094305865,-0.2041288,0.2572215,train
Sample_006,-0.06054467,0.084280305,0.008897648,train
Sample_007,-0.06054467,0.084280305,0.008897648,train
Sample_008,-0.061169706,0.08493907,0.009006852,train
Sample_009,0.4481902,-0.86089283,0.82069343,train
Sample_010,0.33482182,-0.22663996,-0.6607781,train
Sample_012,0.66178536,-0.48376745,-1.2145922,train
Sample_013,-0.06054467,0.084280305,0.008897648,train
Sample_014,0.03130494,-0.08636611,0.15546343,train
Sample_016,0.30751982,-0.20516938,-0.61453366,train
Sample_017,0.18830441,-0.121230535,-0.38247758,train
Sample_019,0.24993163,-0.4925503,0.50432926,train
Sample_024,0.4781718,-0.91783136,0.8700583,train
Sample_025,0.04060363,-0.10364204,0.17030148,train
Sample_026,0.22539473,-0.14066625,-0.4769089,train
Sample_027,0.46327928,-0.32794705,-0.8802801,train
Sample_028,-0.06054467,0.084280305,0.008897648,train
Sample_030,0.44340777,-0.8520075,0.813062,train
Sample_002,-0.061709583,0.085615136,0.009210067,valid
Sample_023,0.2674632,-0.5267139,0.5349376,valid
Sample_029,-0.030243166,0.03393602,0.038413577,valid
