,LatDim_0,LatDim_1,split
Sample_001,1.2478437,-0.34281996,train
Sample_003,-0.8139653,-0.34193486,train
Sample_004,0.9772866,0.909357,train
Sample_005,0.9612735,0.5441841,train
Sample_006,0.361389,0.43319574,train
Sample_007,1.8803928,0.1137476,train
Sample_008,1.0473351,0.03316406,train
Sample_009,0.3161259,0.1251452,train
Sample_010,1.1818388,0.7181583,train
Sample_012,0.97959733,1.2831647,train
Sample_013,0.19352955,-1.0411267,train
Sample_014,-0.7075623,-0.18315479,train
Sample_016,-1.0368735,-0.96873105,train
Sample_017,0.70229256,1.565782,train
Sample_019,-0.45428267,-0.2043738,train
Sample_024,-1.5164317,-0.3600296,train
Sample_025,-0.9361766,2.1380475,train
Sample_026,0.55262756,-0.87451583,train
Sample_027,0.60925287,1.7970898,train
Sample_028,-0.29136604,1.1804483,train
Sample_030,-0.10153899,-0.21875407,train
Sample_002,0.4192468,0.19677444,valid
Sample_023,-0.800591,-0.20431016,valid
Sample_029,-0.69802016,-0.43469918,valid
