,Gene1,Gene2,Gene3,split
Sample_001,0.31081817,-0.51161075,0.47371206,train
Sample_003,0.38512263,-0.63780403,0.58474463,train
Sample_004,0.82969964,-1.4021714,1.2579468,train
Sample_005,0.41707322,-0.3332636,-0.6822163,train
Sample_006,0.80091715,-1.3526853,1.2143629,train
Sample_007,0.17385365,-0.27456632,0.2648299,train
Sample_008,0.17077014,-0.12536308,-0.26638725,train
Sample_009,0.76316684,-1.2904112,1.1591641,train
Sample_010,0.23746075,-0.38392687,0.36114717,train
Sample_012,0.050786354,-0.024086658,-0.06382084,train
Sample_013,0.23621738,-0.30042556,0.061548565,train
Sample_014,0.65533143,-0.7350169,-0.3502934,train
Sample_016,0.005407964,0.014208538,0.010918495,train
Sample_017,0.4786675,-0.798637,0.72639525,train
Sample_019,0.50670147,-0.4089174,-0.833534,train
Sample_024,0.005407964,0.014208538,0.010918495,train
Sample_025,0.8899541,-0.73058695,-1.4804995,train
Sample_026,0.9203403,-0.75806344,-1.5318727,train
Sample_027,0.24663314,-0.18939783,-0.39446536,train
Sample_028,0.0063541513,0.013417858,0.0111932345,train
Sample_030,0.051794566,-0.06470848,0.08000153,train
Sample_002,0.0045428094,0.014983203,0.010763622,valid
Sample_023,0.3680716,-0.29028004,-0.6012219,valid
Sample_029,0.13172957,-0.20430009,0.203625,valid
