,Gene1,Gene2,Gene3,split
Sample_001,0.2579887,-0.18112038,-0.47116426,train
Sample_003,0.47744077,-0.3575503,-0.83752596,train
Sample_004,0.14119709,-0.2512787,0.261927,train
Sample_005,0.00459167,-0.010853022,0.06243915,train
Sample_006,0.21622518,-0.147926,-0.3996472,train
Sample_007,0.488123,-0.36612275,-0.8554327,train
Sample_008,-0.028620541,0.048561536,0.010790473,train
Sample_009,0.4210887,-0.7559401,0.7101383,train
Sample_010,0.74636656,-1.3378416,1.2159815,train
Sample_012,0.15679623,-0.10023456,-0.3000258,train
Sample_013,0.1553685,-0.10591214,-0.27528045,train
Sample_014,0.61481994,-0.8686919,0.2444434,train
Sample_016,0.49432278,-0.8685293,0.76235455,train
Sample_017,0.76261723,-0.58640313,-1.3155705,train
Sample_019,-0.029356124,0.049354445,0.010647544,train
Sample_024,0.16894789,-0.30487597,0.31803134,train
Sample_025,0.48860103,-0.87671536,0.8151275,train
Sample_026,-0.028620541,0.048561536,0.010790473,train
Sample_027,0.21113327,-0.14353836,-0.39259836,train
Sample_028,0.09345162,-0.049400806,-0.1938405,train
Sample_030,0.02934204,-0.040050685,0.05153174,train
Sample_002,0.22886093,-0.36642542,0.2601497,valid
Sample_023,0.51946944,-0.41484186,-0.8312583,valid
Sample_029,0.15476005,-0.28066385,0.29821685,valid
