,Gene1,Gene2,Gene3,split
Sample_001,0.16860917,-0.35191527,0.4127705,train
Sample_003,0.15426916,-0.07862764,-0.39892405,train
Sample_004,0.22117369,-0.4491849,0.49813455,train
Sample_005,-0.08146926,0.10993851,0.010363184,train
Sample_006,0.16820937,-0.089778356,-0.4231269,train
Sample_007,-0.08146926,0.10993851,0.010363184,train
Sample_008,0.2885416,-0.57341075,0.6057567,train
Sample_009,-0.08146926,0.10993851,0.010363184,train
Sample_010,-0.039764863,0.032917336,0.07747075,train
Sample_012,0.60397977,-1.1559733,1.1133361,train
Sample_013,0.12656853,-0.27452976,0.3458861,train
Sample_014,0.58074605,-0.41976464,-1.1393698,train
Sample_016,0.4164713,-0.2884193,-0.8555976,train
Sample_017,-0.08146926,0.10993851,0.010363184,train
Sample_019,0.12413356,-0.05447547,-0.3477474,train
Sample_024,-0.08146926,0.10993851,0.010363184,train
Sample_025,0.0009880066,0.0439813,-0.1327985,train
Sample_026,0.51862764,-0.9983419,0.97599375,train
Sample_027,0.17620224,-0.096171804,-0.43700406,train
Sample_028,0.108425975,-0.24103595,0.31668922,train
Sample_030,-0.012231261,-0.017932706,0.12177575,train
Sample_002,0.46917987,-0.907036,0.89807826,valid
Sample_023,0.24924701,-0.5011304,0.5441021,valid
Sample_029,0.19021964,-0.107250035,-0.46353164,valid
