,Gene1,Gene2,Gene3,split
Sample_001,-0.024114594,0.043794096,0.011436306,train
Sample_003,0.4119075,-0.30830997,-0.7197965,train
Sample_004,0.09126395,-0.16188696,0.1902973,train
Sample_005,0.9869288,-1.7585557,1.5787661,train
Sample_006,0.6119064,-0.46981657,-1.0552055,train
Sample_007,0.58400065,-1.0402706,0.9541427,train
Sample_008,0.08378572,-0.043339424,-0.16951838,train
Sample_009,0.2708335,-0.48199892,0.46866778,train
Sample_010,0.08047293,-0.14265022,0.17356893,train
Sample_012,0.5005148,-0.50437766,-0.45630556,train
Sample_013,-0.024983345,0.044555593,0.011267376,train
Sample_014,0.74702823,-0.57893246,-1.2818122,train
Sample_016,0.69363964,-1.2373997,1.1259123,train
Sample_017,0.2924412,-0.44527155,0.25312907,train
Sample_019,0.2715242,-0.19494522,-0.48436597,train
Sample_024,0.056770936,-0.021523975,-0.12421312,train
Sample_025,0.12965089,-0.17797598,0.07657476,train
Sample_026,-0.024983345,0.044555593,0.011267376,train
Sample_027,-0.024983345,0.044555593,0.011267376,train
Sample_028,0.28143507,-0.4738915,0.39344543,train
Sample_030,-0.024114594,0.043794096,0.011436306,train
Sample_002,-0.006199388,0.01054997,0.04150578,valid
Sample_023,-0.022581497,0.039789394,0.016082851,valid
Sample_029,0.40677404,-0.72654104,0.6823875,valid
