,LatDim_0,LatDim_1,split
Sample_001,0.5622588,-0.6692268,train
Sample_003,-0.10436022,0.42802027,train
Sample_004,-0.75857735,-1.1930891,train
Sample_005,0.8559816,0.16765198,train
Sample_006,0.7669446,1.5546849,train
Sample_007,2.8593965,1.5309688,train
Sample_008,-0.18852955,-0.13632552,train
Sample_009,2.5936596,1.0397447,train
Sample_010,-1.0466958,0.79700387,train
Sample_012,-1.56791,0.79052025,train
Sample_013,-1.4453658,1.4681298,train
Sample_014,2.0170374,0.258673,train
Sample_016,2.2663517,-1.2839644,train
Sample_017,0.22612123,1.5450526,train
Sample_019,-1.0781536,0.7697759,train
Sample_024,0.48874557,1.5519738,train
Sample_025,-1.198678,1.2816992,train
Sample_026,-0.20495334,0.38693252,train
Sample_027,0.8298435,0.48099333,train
Sample_028,2.4860032,0.010936573,train
Sample_030,0.35116166,1.0626771,train
Sample_002,0.41969582,-0.057525724,valid
Sample_023,0.40998182,-1.4201188,valid
Sample_029,-0.42829603,0.850986,valid
