,Gene1,Gene2,Gene3,split
Sample_001,0.3350065,-0.43826112,0.050513234,train
Sample_003,-0.0185627,0.038177095,0.011485262,train
Sample_004,0.43459302,-0.76725185,0.7116011,train
Sample_005,0.506011,-0.38836238,-0.8680833,train
Sample_006,0.9738932,-0.7698111,-1.6514306,train
Sample_007,0.19985428,-0.2995989,0.18123218,train
Sample_008,0.041859575,-0.011206001,-0.0885966,train
Sample_009,-0.017792957,0.03734666,0.01142877,train
Sample_010,-0.017792957,0.03734666,0.01142877,train
Sample_012,-0.017792957,0.03734666,0.01142877,train
Sample_013,-0.017792957,0.03734666,0.01142877,train
Sample_014,0.71799594,-1.2697287,1.1476144,train
Sample_016,-0.017792957,0.03734666,0.01142877,train
Sample_017,0.25930512,-0.45569903,0.44078505,train
Sample_019,0.35808074,-0.6303656,0.591843,train
Sample_024,0.7711258,-0.9077688,-0.2974545,train
Sample_025,-0.017792957,0.03734666,0.01142877,train
Sample_026,0.29149032,-0.21438661,-0.5071774,train
Sample_027,-0.017792957,0.03734666,0.01142877,train
Sample_028,0.8237395,-1.4575744,1.3109009,train
Sample_030,0.42096478,-0.7420745,0.6889469,train
Sample_002,0.2332136,-0.4101524,0.40183762,valid
Sample_023,0.6161784,-1.091155,0.99381304,valid
Sample_029,-0.019342035,0.038951576,0.011444761,valid
