,Gene1,Gene2,Gene3,split
Sample_001,0.82654506,-1.4471956,1.3000332,train
Sample_003,0.552345,-0.9621618,0.8767035,train
Sample_004,-0.008772921,0.028621987,0.006188153,train
Sample_005,0.6496541,-1.1335374,1.0261371,train
Sample_006,0.17482919,-0.2973013,0.29696786,train
Sample_007,0.20535246,-0.14771923,-0.35389864,train
Sample_008,-0.01228032,0.03174225,0.010959787,train
Sample_009,0.11721767,-0.088434085,-0.15987487,train
Sample_010,0.7818621,-1.3663751,1.2291636,train
Sample_012,0.66321,-0.5247841,-1.1238607,train
Sample_013,0.18508385,-0.13053556,-0.32081142,train
Sample_014,-0.011517251,0.030882059,0.010803193,train
Sample_016,0.8242962,-1.0397062,-0.083052605,train
Sample_017,0.12961543,-0.21767327,0.22753493,train
Sample_019,0.36161628,-0.27640906,-0.6166818,train
Sample_024,0.15175028,-0.1035756,-0.26375782,train
Sample_025,-0.011517251,0.030882059,0.010803193,train
Sample_026,0.52953887,-0.4137552,-0.8998439,train
Sample_027,-0.011517251,0.030882059,0.010803193,train
Sample_028,0.17188291,-0.12015568,-0.29761416,train
Sample_030,0.76656413,-0.60990053,-1.2976676,train
Sample_002,0.29811594,-0.51674014,0.4895294,valid
Sample_023,0.68314075,-0.5389489,-1.1587392,valid
Sample_029,-0.013052021,0.032529254,0.010998784,valid
