,Gene1,Gene2,Gene3,split
Sample_001,0.0817497,-0.13641588,0.15957952,train
Sample_003,0.0463077,-0.015766889,-0.09119764,train
Sample_004,-0.015426616,0.034970008,0.011286109,train
Sample_005,0.13563406,-0.23176421,0.2425668,train
Sample_006,-0.01462922,0.034126565,0.011146355,train
Sample_007,0.8893413,-1.5677052,1.4056832,train
Sample_008,-0.015426616,0.034970008,0.011286109,train
Sample_009,0.6575444,-1.1552843,1.0463607,train
Sample_010,0.36528945,-0.2769403,-0.62692976,train
Sample_012,0.48389295,-0.37404948,-0.82612514,train
Sample_013,0.64167726,-0.5032389,-1.0911251,train
Sample_014,0.5088417,-0.89215493,0.81734383,train
Sample_016,0.66677684,-1.1716211,1.0605797,train
Sample_017,-0.015426616,0.034970008,0.011286109,train
Sample_019,0.3650778,-0.27676696,-0.6265742,train
Sample_024,0.21798405,-0.15633069,-0.37952927,train
Sample_025,0.53350174,-0.41466784,-0.90944356,train
Sample_026,0.23374955,-0.16875458,-0.4070666,train
Sample_027,-0.01462922,0.034126565,0.011146355,train
Sample_028,0.6737533,-1.1839659,1.0713241,train
Sample_030,0.11538876,-0.07232854,-0.20721978,train
Sample_002,0.007206971,-0.0057599805,0.047400583,valid
Sample_023,0.070684895,-0.118323594,0.14529754,valid
Sample_029,0.35772052,-0.26952183,-0.616239,valid
