,LatDim_0,LatDim_1,split
Sample_001,0.63106453,0.3877497,train
Sample_003,-0.4201704,0.81102353,train
Sample_004,-0.7892575,0.39760637,train
Sample_005,1.3833702,0.34727582,train
Sample_006,0.6401242,1.149135,train
Sample_007,-0.32636365,3.0535839,train
Sample_008,0.7565036,-0.6138287,train
Sample_009,1.4435805,0.024519946,train
Sample_010,-0.7801442,1.6406837,train
Sample_012,0.2235306,-0.3958648,train
Sample_013,0.9835335,-0.58588654,train
Sample_014,-0.03815353,1.489425,train
Sample_016,-0.6986957,0.13450278,train
Sample_017,0.7033114,0.31990835,train
Sample_019,-1.2604853,-0.26643252,train
Sample_024,-3.0511403,-0.7647677,train
Sample_025,0.09582364,-0.9917109,train
Sample_026,1.443361,-1.5433507,train
Sample_027,0.405549,0.6446101,train
Sample_028,0.82359564,1.0994813,train
Sample_030,-0.031146029,-0.9050583,train
Sample_002,-1.2070854,1.1681834,valid
Sample_023,-1.3208445,-1.5045528,valid
Sample_029,-0.42132032,0.76020795,valid
