,Gene1,Gene2,Gene3,split
Sample_001,-0.07403027,0.10122487,0.009700593,train
Sample_003,0.020068698,0.026109405,-0.15268478,train
Sample_004,-0.07403027,0.10122487,0.009700593,train
Sample_005,0.36732215,-0.25108922,-0.7519356,train
Sample_006,-0.07403027,0.10122487,0.009700593,train
Sample_007,0.03841556,-0.107809804,0.19102646,train
Sample_008,-0.07403027,0.10122487,0.009700593,train
Sample_009,0.37522358,-0.7330798,0.7310406,train
Sample_010,0.53773415,-0.38707107,-1.0473351,train
Sample_012,-0.07451,0.101804905,0.009694088,train
Sample_013,-0.07403027,0.10122487,0.009700593,train
Sample_014,0.16072768,-0.08617306,-0.3954182,train
Sample_016,0.49768528,-0.96031564,0.9285077,train
Sample_017,0.29571217,-0.58542,0.60337394,train
Sample_019,0.37346396,-0.255992,-0.7625345,train
Sample_024,0.22350207,-0.45131937,0.48743045,train
Sample_025,0.13072541,-0.06222345,-0.34364364,train
Sample_026,-0.00066275895,0.042837992,-0.117801964,train
Sample_027,0.2773129,-0.17923841,-0.5966078,train
Sample_028,0.31454694,-0.20896086,-0.6608621,train
Sample_030,0.059413217,-0.14659163,0.22396281,train
Sample_002,0.4943148,-0.35244742,-0.9737561,valid
Sample_023,-0.074981324,0.10234997,0.0096818805,valid
Sample_029,0.012357213,-0.036980063,0.07826297,valid
