,LatDim_0,LatDim_1,split
Sample_001,0.27361023,0.01252152,train
Sample_003,-0.27345285,1.4817724,train
Sample_004,-0.3527444,-0.24409145,train
Sample_005,-0.20403452,0.6777392,train
Sample_006,1.5512121,-0.38841733,train
Sample_007,-0.7877054,1.3797102,train
Sample_008,0.09686046,-0.40643108,train
Sample_009,-0.32940692,1.9519681,train
Sample_010,0.2744136,1.5735656,train
Sample_012,0.41256678,1.6726565,train
Sample_013,0.49493825,-1.6809148,train
Sample_014,1.9580214,-0.66449,train
Sample_016,-0.582759,-1.515772,train
Sample_017,0.63441217,-2.4002888,train
Sample_019,0.91908824,-0.80474895,train
Sample_024,1.01568,-1.0103401,train
Sample_025,0.5093045,-0.75359607,train
Sample_026,-1.0596074,-0.6166263,train
Sample_027,-0.7477226,1.8309801,train
Sample_028,0.14593765,-0.29508537,train
Sample_030,-0.06807462,3.3850298,train
Sample_002,-0.12968154,-1.6237191,valid
Sample_023,1.0230854,-2.076389,valid
Sample_029,-0.20490615,0.055442095,valid
