,Gene1,Gene2,Gene3,split
Sample_001,0.7681591,-1.3916944,1.2662424,train
Sample_003,0.5087966,-0.37534225,-0.9024579,train
Sample_004,-0.036071192,0.056953743,0.009748009,train
Sample_005,-0.0354289,0.056159664,0.009702234,train
Sample_006,-0.0354289,0.056159664,0.009702234,train
Sample_007,0.52703863,-0.55978674,-0.38884124,train
Sample_008,-0.0354289,0.056159664,0.009702234,train
Sample_009,0.7005184,-1.2698237,1.1604753,train
Sample_010,0.2994799,-0.20994522,-0.5512265,train
Sample_012,0.307857,-0.56235117,0.5464854,train
Sample_013,0.21468394,-0.39526808,0.4020846,train
Sample_014,-0.036071192,0.056953743,0.009748009,train
Sample_016,0.09011905,-0.043595616,-0.20057425,train
Sample_017,0.093784824,-0.16348922,0.16943274,train
Sample_019,0.6386597,-1.1598829,1.0654457,train
Sample_024,0.9135238,-0.69783944,-1.5796701,train
Sample_025,0.34646907,-0.6319199,0.60686165,train
Sample_026,0.26627555,-0.1835624,-0.4956135,train
Sample_027,0.16123444,-0.29817587,0.31721726,train
Sample_028,0.007903732,0.021729324,-0.06287429,train
Sample_030,0.3517636,-0.25148773,-0.6387949,train
Sample_002,0.1949727,-0.12596652,-0.37818623,valid
Sample_023,0.25391737,-0.32697907,0.016940812,valid
Sample_029,0.43557805,-0.3166658,-0.7809478,valid
