,Gene1,Gene2,Gene3,split
Sample_001,0.25605127,-0.14738221,-0.603157,train
Sample_003,-0.100041725,0.13137935,0.011544378,train
Sample_004,0.16193923,-0.073611856,-0.4415782,train
Sample_005,0.034265734,0.026238956,-0.2203023,train
Sample_006,-0.100421034,0.13180588,0.011504837,train
Sample_007,-0.033545263,0.03730122,0.02910721,train
Sample_008,0.64757156,-0.4538775,-1.2790145,train
Sample_009,-0.100041725,0.13137935,0.011544378,train
Sample_010,0.19819027,-0.41939944,0.49611536,train
Sample_012,0.17109385,-0.3693574,0.45208877,train
Sample_013,-0.100041725,0.13137935,0.011544378,train
Sample_014,0.57424873,-1.1139092,1.1071397,train
Sample_016,0.080323495,-0.009816617,-0.29980898,train
Sample_017,0.45969322,-0.90295386,0.92197233,train
Sample_019,-0.100041725,0.13137935,0.011544378,train
Sample_024,0.19700843,-0.101069674,-0.502141,train
Sample_025,0.14632508,-0.061484873,-0.41374344,train
Sample_026,-0.100041725,0.13137935,0.011544378,train
Sample_027,-0.100041725,0.13137935,0.011544378,train
Sample_028,0.027946107,0.03118617,-0.20939313,train
Sample_030,-0.100421034,0.13180588,0.011504837,train
Sample_002,-0.03486845,0.01050631,0.11864918,valid
Sample_023,0.024002388,-0.0982742,0.21438052,valid
Sample_029,-0.077157006,0.113766365,-0.029238287,valid
