,LatDim_0,LatDim_1,split
Sample_001,0.44275123,0.7269041,train
Sample_003,0.58260894,0.11007451,train
Sample_004,-0.54442436,-0.27983135,train
Sample_005,1.7377187,-2.9386322,train
Sample_006,0.8342855,1.5091095,train
Sample_007,-0.08746618,0.020028573,train
Sample_008,0.063507795,0.85197634,train
Sample_009,1.5366287,-1.3234917,train
Sample_010,-0.19273841,0.7721213,train
Sample_012,1.2345622,0.6392757,train
Sample_013,-0.11139503,-0.62014425,train
Sample_014,-0.41148773,0.6161348,train
Sample_016,-0.3112184,1.3877286,train
Sample_017,0.7768274,-0.49615493,train
Sample_019,0.5113991,-0.99727327,train
Sample_024,0.014969028,-1.0587635,train
Sample_025,0.180322,-0.56537324,train
Sample_026,0.00048085654,0.87936306,train
Sample_027,0.047492906,-1.8269448,train
Sample_028,-0.76769525,1.5238363,train
Sample_030,-0.76223254,-0.5964276,train
Sample_002,2.1875038,-0.7354562,valid
Sample_023,0.4144234,0.021197703,valid
Sample_029,-1.6859721,0.20234138,valid
