,Gene1,Gene2,Gene3,split
Sample_001,0.27774757,-0.20240414,-0.4867279,train
Sample_003,0.21646248,-0.15261611,-0.38396242,train
Sample_004,0.3920144,-0.692538,0.64730716,train
Sample_005,0.32595205,-0.57506347,0.5451899,train
Sample_006,0.36122963,-0.49296802,0.11649026,train
Sample_007,0.22766775,-0.4002906,0.39326504,train
Sample_008,-0.019342035,0.038951576,0.011444761,train
Sample_009,0.3271835,-0.5772533,0.5470935,train
Sample_010,0.43596926,-0.33051956,-0.7537639,train
Sample_012,0.071240366,-0.034637608,-0.1404477,train
Sample_013,0.84827244,-1.5038733,1.3525771,train
Sample_014,0.8257648,-0.6476135,-1.4056667,train
Sample_016,0.059089318,-0.024625193,-0.121739574,train
Sample_017,0.25684926,-0.45322254,0.43975297,train
Sample_019,0.26759562,-0.19415669,-0.4697047,train
Sample_024,0.7188982,-1.2753264,1.1543666,train
Sample_025,0.5385672,-0.4142941,-0.9240815,train
Sample_026,0.26264393,-0.46248657,0.44733015,train
Sample_027,0.44745457,-0.3398416,-0.7730247,train
Sample_028,0.41479644,-0.3137427,-0.71653736,train
Sample_030,0.451695,-0.6862604,0.36451274,train
Sample_002,0.19827937,-0.13725352,-0.3564814,valid
Sample_023,0.43811074,-0.3586677,-0.6690528,valid
Sample_029,0.2599883,-0.18729272,-0.4599707,valid
