,LatDim_0,LatDim_1,split
Sample_001,-0.38538384,0.55755943,train
Sample_003,-0.40160802,0.42183205,train
Sample_004,0.06333936,-0.24245515,train
Sample_005,0.7118073,-0.585978,train
Sample_006,1.2146488,0.7030999,train
Sample_007,3.2510483,0.5806208,train
Sample_008,-0.344624,-0.14971459,train
Sample_009,1.1849096,1.3645645,train
Sample_010,-1.4426239,-0.7543052,train
Sample_012,2.6539073,-1.1245652,train
Sample_013,-1.4068193,-0.05180984,train
Sample_014,-1.726799,-1.8914213,train
Sample_016,2.1249366,-0.02158533,train
Sample_017,2.36204,-0.41647947,train
Sample_019,1.3488336,-0.01629879,train
Sample_024,0.07788782,0.65493476,train
Sample_025,-1.5478988,2.1845164,train
Sample_026,-0.6272749,0.18136175,train
Sample_027,1.0192819,-1.4841714,train
Sample_028,0.34853485,-0.30934188,train
Sample_030,-0.71592647,0.76365775,train
Sample_002,0.25319192,-0.88350004,valid
Sample_023,-1.1210167,2.5912445,valid
Sample_029,0.7460555,-1.8992329,valid
