,LatDim_0,LatDim_1,split
Sample_001,-1.3667593,-0.097882494,train
Sample_003,-0.15629232,1.3009164,train
Sample_004,0.057943076,-1.2054731,train
Sample_005,0.8372287,1.2746257,train
Sample_006,-0.7834029,0.5770361,train
Sample_007,2.6472585,-0.2552037,train
Sample_008,0.9022274,0.29517457,train
Sample_009,0.47303975,-1.0887301,train
Sample_010,-0.55101675,-0.3942401,train
Sample_012,1.1617222,0.35263136,train
Sample_013,0.07666388,0.47542945,train
Sample_014,-0.03240621,-1.0541466,train
Sample_016,0.37645033,-0.57826346,train
Sample_017,1.6287407,-1.4375323,train
Sample_019,0.05845079,-0.059669398,train
Sample_024,1.5069374,0.0003865482,train
Sample_025,-1.0544368,-1.8127854,train
Sample_026,-0.46674836,1.5312288,train
Sample_027,-0.5725365,-0.6178827,train
Sample_028,0.7072653,-1.7001116,train
Sample_030,-0.40235594,1.5133089,train
Sample_002,-1.3673759,-0.22815742,valid
Sample_023,-0.06364685,2.164383,valid
Sample_029,2.0046306,-0.2205987,valid
