,LatDim_0,LatDim_1,split
Sample_001,-1.181933,0.9715178,train
Sample_003,0.044387262,1.2750758,train
Sample_004,1.0339365,-0.38537103,train
Sample_005,0.54306024,1.3326892,train
Sample_006,-0.86595386,0.18833637,train
Sample_007,-0.94659394,-0.3590731,train
Sample_008,-0.46867248,-0.6960062,train
Sample_009,1.9107184,-0.30188012,train
Sample_010,0.08004338,-0.061205097,train
Sample_012,0.979908,-1.3177315,train
Sample_013,1.4228606,1.4229186,train
Sample_014,1.4946424,0.10687682,train
Sample_016,-0.19312513,2.1559188,train
Sample_017,0.5281276,2.4638991,train
Sample_019,0.13890284,-0.17494714,train
Sample_024,-0.31477174,1.1015953,train
Sample_025,-0.2196389,-1.7772,train
Sample_026,-0.4409256,-0.6506083,train
Sample_027,-0.8850024,1.2490367,train
Sample_028,-0.20846026,-1.1045749,train
Sample_030,0.2946169,2.028454,train
Sample_002,-2.5240207,-0.7173883,valid
Sample_023,-1.320537,-0.68926334,valid
Sample_029,1.5693011,-0.17392275,valid
