,Gene1,Gene2,Gene3,split
Sample_001,0.49478707,-0.37768894,-0.8537414,train
Sample_003,0.8056153,-0.62889284,-1.376405,train
Sample_004,0.35190102,-0.44390914,-0.008183423,train
Sample_005,0.23739149,-0.41932252,0.41103333,train
Sample_006,0.3597981,-0.637186,0.6004359,train
Sample_007,-0.020986298,0.04054705,0.011239376,train
Sample_008,-0.020986298,0.04054705,0.011239376,train
Sample_009,0.14187929,-0.2500818,0.26466087,train
Sample_010,0.5040274,-0.8938903,0.82360536,train
Sample_012,0.3627178,-0.56543326,0.3488874,train
Sample_013,0.128248,-0.22580913,0.24355838,train
Sample_014,0.15489987,-0.10207746,-0.28373155,train
Sample_016,0.3717167,-0.2778923,-0.64734554,train
Sample_017,-0.020986298,0.04054705,0.011239376,train
Sample_019,0.37386274,-0.6622187,0.62219846,train
Sample_024,-0.020986298,0.04054705,0.011239376,train
Sample_025,0.63721454,-1.1321069,1.0314864,train
Sample_026,-0.02179525,0.04136732,0.01127732,train
Sample_027,0.18156242,-0.1236979,-0.32844615,train
Sample_028,-0.020986298,0.04054705,0.011239376,train
Sample_030,1.0922877,-0.86219686,-1.8557833,train
Sample_002,0.24124639,-0.33114827,0.09913909,valid
Sample_023,0.07631233,-0.037892397,-0.15457287,valid
Sample_029,0.07358608,-0.035684977,-0.14999864,valid
