,LatDim_0,LatDim_1,split
Sample_001,0.7599441,1.6891731,train
Sample_003,-1.2340174,-0.25955114,train
Sample_004,1.7545627,0.26493618,train
Sample_005,-2.501388,-1.8301147,train
Sample_006,-0.8498126,0.014121253,train
Sample_007,2.9007623,1.2941078,train
Sample_008,0.91382873,-0.049281027,train
Sample_009,1.683457,-0.8491507,train
Sample_010,0.84388995,-0.37586936,train
Sample_012,0.37724108,0.75143,train
Sample_013,2.311612,-1.1013026,train
Sample_014,0.03477037,-0.6619644,train
Sample_016,0.25991115,1.0043616,train
Sample_017,1.3275458,-0.21964194,train
Sample_019,-1.035884,1.9270831,train
Sample_024,-1.5210316,0.8835741,train
Sample_025,-0.5158516,0.0028800606,train
Sample_026,-0.3057389,0.4045146,train
Sample_027,-1.7792486,-0.8493639,train
Sample_028,-0.07048981,1.467613,train
Sample_030,2.881244,-1.3918778,train
Sample_002,0.8580761,0.22279133,valid
Sample_023,-0.9897265,-0.040747374,valid
Sample_029,-0.098502316,1.520984,valid
