,Gene1,Gene2,Gene3,split
Sample_001,0.36475682,-0.4652966,-0.057367604,train
Sample_003,0.022338375,-0.072263226,0.14767498,train
Sample_004,-0.011783123,-0.008793086,0.09312989,train
Sample_005,-0.06396293,0.088267714,0.009717595,train
Sample_006,0.80154216,-1.5216773,1.3932751,train
Sample_007,0.017494768,-0.06360518,0.14098565,train
Sample_008,0.027063489,0.016369104,-0.14521688,train
Sample_009,0.16643211,-0.24025148,0.06948516,train
Sample_010,0.12019973,-0.05719599,-0.3037425,train
Sample_012,0.0047902316,0.03423169,-0.10813768,train
Sample_013,-0.06396293,0.088267714,0.009717595,train
Sample_014,0.53444964,-0.38439763,-1.0088301,train
Sample_016,0.51317286,-0.98527527,0.932301,train
Sample_017,-0.06396293,0.088267714,0.009717595,train
Sample_019,0.36668062,-0.7127818,0.698125,train
Sample_024,-0.06396293,0.088267714,0.009717595,train
Sample_025,0.33750618,-0.658997,0.6527102,train
Sample_026,0.54038966,-0.38908944,-1.0189404,train
Sample_027,0.32864445,-0.22156313,-0.6595227,train
Sample_028,0.21869141,-0.13499117,-0.47138348,train
Sample_030,0.085870065,-0.12521729,0.04808933,train
Sample_002,0.45158958,-0.31836784,-0.86981994,valid
Sample_023,0.09596423,-0.20994467,0.26747945,valid
Sample_029,0.05984793,-0.1427393,0.20970982,valid
