,LatDim_0,LatDim_1,split
Sample_001,1.9678128,-1.2177277,train
Sample_003,0.9190035,0.62102616,train
Sample_004,-0.51060206,0.4143562,train
Sample_005,-0.5806248,0.5588045,train
Sample_006,-0.33882433,-0.36104,train
Sample_007,0.31410795,2.4720135,train
Sample_008,0.51601386,-1.8408145,train
Sample_009,0.31527764,2.4329712,train
Sample_010,0.3988376,0.10425611,train
Sample_012,0.028831542,-1.2865859,train
Sample_013,0.7234963,0.74461555,train
Sample_014,2.0347142,-2.955612,train
Sample_016,0.52880913,1.859418,train
Sample_017,-0.042527616,0.69791406,train
Sample_019,-0.4443302,-2.7384303,train
Sample_024,-0.9722066,-0.2444897,train
Sample_025,-0.9519686,1.1989857,train
Sample_026,-0.6075744,-0.08150901,train
Sample_027,0.31348363,-1.9705462,train
Sample_028,0.6255064,0.66456115,train
Sample_030,-0.76582587,-1.1917378,train
Sample_002,-1.0278301,0.35856065,valid
Sample_023,-1.940892,-0.29963878,valid
Sample_029,-0.13631096,-1.2912778,valid
