,Gene1,Gene2,Gene3,split
Sample_001,0.19457237,-0.31775194,0.30492443,train
Sample_003,0.34106922,-0.5705567,0.5264076,train
Sample_004,0.75793034,-1.2926998,1.1602407,train
Sample_005,1.0042913,-0.8187561,-1.6747688,train
Sample_006,0.17744678,-0.2871077,0.2776214,train
Sample_007,0.81315726,-1.3906333,1.2461269,train
Sample_008,0.8812654,-1.5063577,1.3477705,train
Sample_009,0.5832922,-0.99016815,0.8947052,train
Sample_010,0.22173692,-0.16582978,-0.36059216,train
Sample_012,0.30866656,-0.5144244,0.47713974,train
Sample_013,0.0012390153,0.018143237,0.009699313,train
Sample_014,0.4586485,-0.3634976,-0.7584479,train
Sample_016,0.41288584,-0.32488793,-0.68322814,train
Sample_017,0.18697074,-0.14239977,-0.28233418,train
Sample_019,0.07106658,-0.03991691,-0.10911477,train
Sample_024,0.0012390153,0.018143237,0.009699313,train
Sample_025,0.13961811,-0.11764857,-0.15022631,train
Sample_026,0.0012390153,0.018143237,0.009699313,train
Sample_027,0.58566016,-0.46892804,-0.9734167,train
Sample_028,0.0012390153,0.018143237,0.009699313,train
Sample_030,0.8623555,-0.7003316,-1.4364101,train
Sample_002,0.22071837,-0.36411625,0.34602484,valid
Sample_023,0.6226945,-0.49906266,-1.0368589,valid
Sample_029,0.30659163,-0.5132386,0.47677347,valid
