,LatDim_0,LatDim_1,split
Sample_001,-0.42744672,0.67094815,train
Sample_003,0.07467653,0.8791468,train
Sample_004,-0.6925195,-0.12264493,train
Sample_005,0.7052634,-1.3344332,train
Sample_006,-2.082387,-2.1450527,train
Sample_007,0.041808695,-0.8488832,train
Sample_008,0.07602382,-1.9543852,train
Sample_009,1.3421535,-1.1234597,train
Sample_010,-1.9070027,-0.3983274,train
Sample_012,-0.28534564,2.0668592,train
Sample_013,-0.016758204,-0.301349,train
Sample_014,0.17781936,-1.7455384,train
Sample_016,0.27120572,1.3083827,train
Sample_017,0.34692806,0.9294164,train
Sample_019,0.91259843,-0.5507648,train
Sample_024,1.2198101,-2.892161,train
Sample_025,0.3632193,-0.6164816,train
Sample_026,0.5262847,0.44490916,train
Sample_027,-0.60317576,0.5304884,train
Sample_028,1.7565061,-0.14154093,train
Sample_030,1.257789,-1.6272815,train
Sample_002,-1.8789306,-2.1682081,valid
Sample_023,1.530986,0.18895303,valid
Sample_029,0.60196406,0.18042898,valid
