,LatDim_0,LatDim_1,split
Sample_001,-0.361072,-2.4816613,train
Sample_003,-0.13058828,1.6171771,train
Sample_004,1.0935664,0.017450683,train
Sample_005,1.6287489,0.66516155,train
Sample_006,1.5886196,0.67406714,train
Sample_007,0.42517006,-0.36184534,train
Sample_008,0.7595634,-1.4013593,train
Sample_009,0.7811643,1.7894124,train
Sample_010,0.3371266,-1.1581014,train
Sample_012,0.08989301,-1.0703143,train
Sample_013,0.80618954,-1.1077796,train
Sample_014,-0.87961847,0.08541952,train
Sample_016,-1.2078667,0.99560547,train
Sample_017,0.49860248,-0.06988077,train
Sample_019,-1.441563,-1.7617874,train
Sample_024,1.6462363,-1.157531,train
Sample_025,0.1435966,-2.3675768,train
Sample_026,-0.6284774,-0.103022024,train
Sample_027,-0.55042624,-1.2245817,train
Sample_028,0.81459856,0.5339373,train
Sample_030,-0.99361795,0.027058456,train
Sample_002,2.3826644,1.5198684,valid
Sample_023,1.9211044,1.7859105,valid
Sample_029,-0.32489017,-0.7822029,valid
