,Gene3,Gene1,Gene2,split
Sample_001,0.22593835,-0.24420379,-0.27262464,train
Sample_003,-0.012364155,-0.072177775,1.0928034,train
Sample_004,0.008999899,0.010999899,0.010999899,train
Sample_005,0.008999899,0.010999899,0.010999899,train
Sample_006,0.5924149,-0.675622,-0.7522769,train
Sample_007,0.8039456,-0.9246371,-1.0291327,train
Sample_008,0.82646394,-0.95114577,-1.0586052,train
Sample_009,1.492712,-1.7354566,-1.9306047,train
Sample_010,0.26069716,-0.30363002,-0.13841406,train
Sample_012,0.11846918,-0.1178976,-0.1323275,train
Sample_013,0.1291143,-0.130222,-0.1458993,train
Sample_014,-0.2501253,0.18271463,1.6849766,train
Sample_016,0.01,0.01,0.01,train
Sample_017,0.01,0.01,0.01,train
Sample_019,-0.1694495,0.12676981,1.1622154,train
Sample_024,-0.13138202,0.10199887,0.91779035,train
Sample_025,0.01,0.01,0.01,train
Sample_026,1.2370795,-1.4754817,-1.1922332,train
Sample_027,0.003090654,0.014495989,0.054363757,train
Sample_028,-0.06723318,0.060256504,0.5059014,train
Sample_030,-0.035777867,0.037412282,0.32700083,train
Sample_002,0.05000919,-0.03765171,-0.043885764,valid
Sample_023,0.50117254,-0.56883633,-0.63463753,valid
Sample_029,0.110903256,-0.12156335,-0.0005103061,valid
