,Gene3,Gene1,Gene2,split
Sample_001,0.58700335,-0.6968833,-0.87753105,train
Sample_003,-0.2392748,0.19683236,1.3576787,train
Sample_004,-0.06409819,0.087915845,0.00032012752,train
Sample_005,-0.064531446,0.08814388,7.858558e-05,train
Sample_006,-0.06409819,0.087915845,0.00032012752,train
Sample_007,-0.06409819,0.087915845,0.00032012752,train
Sample_008,-0.11794111,0.121392824,0.41752282,train
Sample_009,-0.07827874,0.096732646,0.11019839,train
Sample_010,-0.11998531,0.12266381,0.4333624,train
Sample_012,-0.09460087,0.10688097,0.23667061,train
Sample_013,-0.071590565,0.09257425,0.05837492,train
Sample_014,0.06472122,-0.06735543,-0.17336135,train
Sample_016,0.034376875,-0.030780159,-0.13244942,train
Sample_017,0.066952944,-0.07037579,-0.17723423,train
Sample_019,-0.08487932,0.10083657,0.161343,train
Sample_024,0.09506696,-0.13700125,0.14839353,train
Sample_025,1.3011193,-1.5576365,-1.8403419,train
Sample_026,-0.23154071,0.19233435,1.2978461,train
Sample_027,-0.11293346,0.11827931,0.37872097,train
Sample_028,-0.064531446,0.08814388,7.858558e-05,train
Sample_030,-0.064531446,0.08814388,7.858558e-05,train
Sample_002,0.20591764,-0.23795098,-0.36512238,valid
Sample_023,0.11462757,-0.12786788,-0.241989,valid
Sample_029,-0.03583906,0.0535739,-0.039037406,valid
