,Gene3,Gene1,Gene2,split
Sample_001,0.30888122,-0.36027008,-0.49385485,train
Sample_003,0.34164616,-0.39972094,-0.53795934,train
Sample_004,-0.14585434,0.13730274,0.6607089,train
Sample_005,-0.26309264,0.21082298,1.5513821,train
Sample_006,-0.09811738,0.10709829,0.29997313,train
Sample_007,0.6688691,-0.79356426,-0.9786261,train
Sample_008,0.65431774,-0.7761953,-0.9588422,train
Sample_009,-0.21248059,0.17900172,1.1674676,train
Sample_010,-0.1518955,0.1410962,0.7066057,train
Sample_012,-0.05902487,0.08277946,0.0010361229,train
Sample_013,0.39268705,-0.46117702,-0.6066647,train
Sample_014,-0.058694553,0.08231202,0.00093385,train
Sample_016,-0.058694553,0.08231202,0.00093385,train
Sample_017,0.12326215,-0.15355328,-0.061217636,train
Sample_019,-0.12433408,0.123581484,0.4988382,train
Sample_024,0.094193906,-0.101774365,-0.2048672,train
Sample_025,0.027693558,-0.021704175,-0.115352005,train
Sample_026,0.12688437,-0.14113556,-0.2488714,train
Sample_027,0.5717306,-0.67675567,-0.8476728,train
Sample_028,-0.21181348,0.1785823,1.1624073,train
Sample_030,-0.04785285,0.069258,-0.013660014,train
Sample_002,-0.059413776,0.08320775,0.0010286171,valid
Sample_023,0.64346325,-0.76288694,-0.9447815,valid
Sample_029,-0.059413776,0.08320775,0.0010286171,valid
