,Gene3,Gene1,Gene2,split
Sample_001,-0.106774576,0.12163278,0.3016115,train
Sample_003,-0.11356425,0.12647627,0.36059242,train
Sample_004,-0.105513945,0.12073349,0.29066065,train
Sample_005,-0.12077471,0.13127925,0.42404425,train
Sample_006,-0.18358874,0.1758591,0.9672804,train
Sample_007,0.506913,-0.6067283,-0.789441,train
Sample_008,0.76703316,-0.9232937,-1.1444577,train
Sample_009,-0.06635024,0.09006624,-0.00935631,train
Sample_010,0.30403847,-0.36013678,-0.5133735,train
Sample_012,-0.0714658,0.09628414,-0.00239516,train
Sample_013,-0.19022346,0.18056783,1.0246595,train
Sample_014,0.37652245,-0.44824016,-0.6120082,train
Sample_016,-0.12662825,0.13543357,0.4746676,train
Sample_017,0.09988899,-0.11199554,-0.23557116,train
Sample_019,-0.10298549,0.11865403,0.27019727,train
Sample_024,-0.0714658,0.09628414,-0.00239516,train
Sample_025,-0.18167336,0.17449972,0.9507155,train
Sample_026,0.6933417,-0.83333015,-1.0431292,train
Sample_027,0.0051609203,0.003145285,-0.106667206,train
Sample_028,0.0394234,-0.038544238,-0.15387098,train
Sample_030,-0.0714658,0.09628414,-0.00239516,train
Sample_002,0.61957294,-0.7443264,-0.9445673,valid
Sample_023,-0.07203019,0.096957944,-0.002591263,valid
Sample_029,0.5398191,-0.64731175,-0.83594114,valid
